    xi       psi(num)    psi'(num)   rho(num)     m(num)  
0.00000000  0.00000000  0.00000000  1.00000000  0.00000000 
0.05000000  0.00000000  0.05000000  1.00000000  0.00000000 
0.10000000  0.00250000  0.00196078  1.00000000  0.00000000 
0.15000000  0.00259804  0.04989457  0.99750312  0.00000000 
0.20000000  0.00509277  0.06672207  0.99740533  0.00000009 
0.25000000  0.00842887  0.08327302  0.99492018  0.00000049 
0.30000000  0.01259252  0.09967685  0.99160655  0.00000166 
0.35000000  0.01757636  0.11593594  0.98748643  0.00000443 
0.40000000  0.02337316  0.13203462  0.98257720  0.00001002 
0.45000000  0.02997489  0.14795317  0.97689787  0.00002011 
0.50000000  0.03737255  0.16367108  0.97046990  0.00003694 
0.55000000  0.04555611  0.17916806  0.96331718  0.00006329 
0.60000000  0.05451451  0.19442447  0.95546599  0.00010253 
0.65000000  0.06423573  0.20942155  0.94694477  0.00015861 
0.70000000  0.07470681  0.22414154  0.93778391  0.00023606 
0.75000000  0.08591389  0.23856777  0.92801553  0.00033995 
0.80000000  0.09784228  0.25268475  0.91767325  0.00047586 
0.85000000  0.11047651  0.26647819  0.90679192  0.00064980 
0.90000000  0.12380042  0.27993502  0.89540736  0.00086817 
0.95000000  0.13779717  0.29304346  0.88355616  0.00113766 
1.00000000  0.15244935  0.30579298  0.87127539  0.00146516 
1.05000000  0.16773900  0.31817435  0.85860238  0.00185768 
1.10000000  0.18364771  0.33017959  0.84557450  0.00232222 
1.15000000  0.20015669  0.34180197  0.83222894  0.00286575 
1.20000000  0.21724679  0.35303601  0.81860247  0.00349499 
1.25000000  0.23489859  0.36387741  0.80473134  0.00421644 
1.30000000  0.25309246  0.37432303  0.79065102  0.00503621 
1.35000000  0.27180861  0.38437089  0.77639609  0.00595994 
1.40000000  0.29102716  0.39402005  0.76200008  0.00699277 
1.45000000  0.31072816  0.40327062  0.74749538  0.00813926 
1.50000000  0.33089169  0.41212368  0.73291308  0.00940327 
1.55000000  0.35149788  0.42058122  0.71828296  0.01078803 
1.60000000  0.37252694  0.42864611  0.70363334  0.01229599 
1.65000000  0.39395924  0.43632201  0.68899109  0.01392888 
1.70000000  0.41577534  0.44361335  0.67438154  0.01568764 
1.75000000  0.43795601  0.45052521  0.65982849  0.01757246 
1.80000000  0.46048227  0.45706332  0.64535417  0.01958277 
1.85000000  0.48333544  0.46323398  0.63097927  0.02171725 
1.90000000  0.50649714  0.46904398  0.61672292  0.02397385 
1.95000000  0.52994933  0.47450058  0.60260272  0.02634985 
2.00000000  0.55367436  0.47961142  0.58863479  0.02884187 
2.05000000  0.57765493  0.48438453  0.57483378  0.03144594 
2.10000000  0.60187416  0.48882818  0.56121291  0.03415750 
2.15000000  0.62631557  0.49295093  0.54778404  0.03697153 
2.20000000  0.65096312  0.49676152  0.53455772  0.03988251 
2.25000000  0.67580119  0.50026887  0.52154323  0.04288456 
2.30000000  0.70081464  0.50348201  0.50874865  0.04597144 
2.35000000  0.72598874  0.50641005  0.49618093  0.04913663 
2.40000000  0.75130924  0.50906215  0.48384594  0.05237339 
2.45000000  0.77676235  0.51144749  0.47174852  0.05567479 
2.50000000  0.80233472  0.51357522  0.45989258  0.05903379 
2.55000000  0.82801348  0.51545449  0.44828113  0.06244326 
2.60000000  0.85378621  0.51709433  0.43691637  0.06589605 
2.65000000  0.87964092  0.51850371  0.42579971  0.06938503 
2.70000000  0.90556611  0.51969151  0.41493188  0.07290313 
2.75000000  0.93155068  0.52066645  0.40431294  0.07644337 
2.80000000  0.95758401  0.52143713  0.39394236  0.07999889 
2.85000000  0.98365586  0.52201197  0.38381907  0.08356301 
2.90000000  1.00975646  0.52239926  0.37394152  0.08712920 
2.95000000  1.03587642  0.52260709  0.36430769  0.09069118 
3.00000000  1.06200678  0.52264336  0.35491519  0.09424288 
3.05000000  1.08813895  0.52251578  0.34576125  0.09777847 
3.10000000  1.11426474  0.52223187  0.33684279  0.10129239 
3.15000000  1.14037633  0.52179894  0.32815647  0.10477935 
3.20000000  1.16646628  0.52122408  0.31969869  0.10823434 
3.25000000  1.19252748  0.52051420  0.31146563  0.11165264 
3.30000000  1.21855319  0.51967597  0.30345332  0.11502981 
3.35000000  1.24453699  0.51871587  0.29565762  0.11836171 
3.40000000  1.27047278  0.51764014  0.28807426  0.12164449 
3.45000000  1.29635479  0.51645485  0.28069888  0.12487459 
3.50000000  1.32217753  0.51516584  0.27352704  0.12804874 
3.55000000  1.34793582  0.51377873  0.26655424  0.13116394 
3.60000000  1.37362476  0.51229896  0.25977593  0.13421748 
3.65000000  1.39923971  0.51073177  0.25318755  0.13720690 
3.70000000  1.42477630  0.50908217  0.24678452  0.14013001 
3.75000000  1.45023041  0.50735503  0.24056227  0.14298487 
3.80000000  1.47559816  0.50555498  0.23451625  0.14576979 
3.85000000  1.50087591  0.50368650  0.22864192  0.14848330 
3.90000000  1.52606023  0.50175387  0.22293480  0.15112415 
3.95000000  1.55114792  0.49976120  0.21739045  0.15369133 
4.00000000  1.57613598  0.49771245  0.21200447  0.15618400 
4.05000000  1.60102161  0.49561137  0.20677253  0.15860153 
4.10000000  1.62580218  0.49346159  0.20169036  0.16094344 
4.15000000  1.65047526  0.49126657  0.19675378  0.16320948 
4.20000000  1.67503858  0.48902961  0.19195866  0.16539949 
4.25000000  1.69949006  0.48675386  0.18730095  0.16751351 
4.30000000  1.72382776  0.48444236  0.18277670  0.16955170 
4.35000000  1.74804988  0.48209798  0.17838204  0.17151436 
4.40000000  1.77215477  0.47972347  0.17411315  0.17340188 
4.45000000  1.79614095  0.47732146  0.16996635  0.17521481 
4.50000000  1.82000702  0.47489445  0.16593802  0.17695376 
4.55000000  1.84375174  0.47244481  0.16202461  0.17861946 
4.60000000  1.86737398  0.46997483  0.15822270  0.18021272 
4.65000000  1.89087273  0.46748665  0.15452892  0.18173441 
4.70000000  1.91424706  0.46498234  0.15094002  0.18318549 
4.75000000  1.93749617  0.46246384  0.14745281  0.18456699 
4.80000000  1.96061937  0.45993302  0.14406421  0.18587998 
4.85000000  1.98361602  0.45739164  0.14077120  0.18712557 
4.90000000  2.00648560  0.45484137  0.13757088  0.18830496 
4.95000000  2.02922767  0.45228381  0.13446039  0.18941934 
5.00000000  2.05184186  0.44972045  0.13143700  0.19046995 
5.05000000  2.07432788  0.44715274  0.12849801  0.19145807 
5.10000000  2.09668552  0.44458203  0.12564084  0.19238500 
5.15000000  2.11891462  0.44200959  0.12286298  0.19325204 
5.20000000  2.14101510  0.43943665  0.12016198  0.19406053 
5.25000000  2.16298693  0.43686434  0.11753547  0.19481181 
5.30000000  2.18483015  0.43429376  0.11498117  0.19550723 
5.35000000  2.20654484  0.43172593  0.11249684  0.19614813 
5.40000000  2.22813113  0.42916181  0.11008034  0.19673589 
5.45000000  2.24958922  0.42660232  0.10772957  0.19727184 
5.50000000  2.27091934  0.42404831  0.10544253  0.19775735 
5.55000000  2.29212175  0.42150061  0.10321724  0.19819375 
5.60000000  2.31319678  0.41895996  0.10105183  0.19858239 
5.65000000  2.33414478  0.41642709  0.09894444  0.19892458 
5.70000000  2.35496614  0.41390267  0.09689331  0.19922165 
5.75000000  2.37566127  0.41138733  0.09489672  0.19947489 
5.80000000  2.39623064  0.40888166  0.09295300  0.19968559 
5.85000000  2.41667472  0.40638622  0.09106055  0.19985502 
5.90000000  2.43699403  0.40390152  0.08921780  0.19998443 
5.95000000  2.45718911  0.40142806  0.08742325  0.20007506 
6.00000000  2.47726051  0.39896627  0.08567544  0.20012812 
6.05000000  2.49720882  0.39651659  0.08397295  0.20014481 
6.10000000  2.51703465  0.39407940  0.08231443  0.20012629 
6.15000000  2.53673862  0.39165507  0.08069855  0.20007373 
6.20000000  2.55632138  0.38924393  0.07912403  0.19998825 
6.25000000  2.57578357  0.38684630  0.07758964  0.19987096 
6.30000000  2.59512589  0.38446246  0.07609417  0.19972294 
6.35000000  2.61434901  0.38209267  0.07463648  0.19954527 
6.40000000  2.63345365  0.37973718  0.07321544  0.19933898 
6.45000000  2.65244051  0.37739621  0.07182996  0.19910509 
6.50000000  2.67131032  0.37506997  0.07047900  0.19884459 
6.55000000  2.69006381  0.37275863  0.06916154  0.19855845 
6.60000000  2.70870175  0.37046235  0.06787661  0.19824763 
6.65000000  2.72722486  0.36818130  0.06662324  0.19791304 
6.70000000  2.74563393  0.36591560  0.06540053  0.19755560 
6.75000000  2.76392971  0.36366537  0.06420759  0.19717617 
6.80000000  2.78211298  0.36143071  0.06304354  0.19677562 
6.85000000  2.80018451  0.35921171  0.06190756  0.19635478 
6.90000000  2.81814510  0.35700845  0.06079884  0.19591447 
6.95000000  2.83599552  0.35482099  0.05971661  0.19545547 
7.00000000  2.85373657  0.35264939  0.05866010  0.19497856 
7.05000000  2.87136904  0.35049369  0.05762858  0.19448448 
7.10000000  2.88889372  0.34835393  0.05662136  0.19397396 
7.15000000  2.90631142  0.34623011  0.05563773  0.19344772 
7.20000000  2.92362293  0.34412226  0.05467704  0.19290642 
7.25000000  2.94082904  0.34203038  0.05373864  0.19235076 
7.30000000  2.95793056  0.33995447  0.05282192  0.19178136 
7.35000000  2.97492828  0.33789451  0.05192626  0.19119886 
7.40000000  2.99182301  0.33585048  0.05105110  0.19060388 
7.45000000  3.00861553  0.33382237  0.05019585  0.18999699 
7.50000000  3.02530665  0.33181013  0.04935997  0.18937879 
7.55000000  3.04189715  0.32981373  0.04854293  0.18874981 
7.60000000  3.05838784  0.32783313  0.04774423  0.18811061 
7.65000000  3.07477950  0.32586827  0.04696335  0.18746170 
7.70000000  3.09107291  0.32391910  0.04619981  0.18680359 
7.75000000  3.10726887  0.32198556  0.04545316  0.18613677 
7.80000000  3.12336814  0.32006759  0.04472293  0.18546172 
7.85000000  3.13937152  0.31816512  0.04400869  0.18477889 
7.90000000  3.15527978  0.31627808  0.04331001  0.18408873 
7.95000000  3.17109368  0.31440639  0.04262647  0.18339167 
8.00000000  3.18681400  0.31254998  0.04195768  0.18268813 
8.05000000  3.20244150  0.31070875  0.04130325  0.18197851 
8.10000000  3.21797694  0.30888264  0.04066280  0.18126319 
8.15000000  3.23342107  0.30707154  0.04003597  0.18054256 
8.20000000  3.24877465  0.30527537  0.03942240  0.17981698 
8.25000000  3.26403842  0.30349404  0.03882175  0.17908679 
8.30000000  3.27921312  0.30172746  0.03823368  0.17835235 
8.35000000  3.29429949  0.29997552  0.03765788  0.17761396 
8.40000000  3.30929827  0.29823813  0.03709402  0.17687196 
8.45000000  3.32421018  0.29651519  0.03654181  0.17612665 
8.50000000  3.33903593  0.29480660  0.03600094  0.17537831 
8.55000000  3.35377626  0.29311225  0.03547114  0.17462725 
8.60000000  3.36843188  0.29143204  0.03495212  0.17387372 
8.65000000  3.38300348  0.28976587  0.03444361  0.17311800 
8.70000000  3.39749177  0.28811363  0.03394535  0.17236033 
8.75000000  3.41189745  0.28647521  0.03345708  0.17160097 
8.80000000  3.42622121  0.28485051  0.03297857  0.17084015 
