    xi       psi(num)    psi'(num)   rho(num)     m(num)  
0.00000000  0.00000000  0.00000000  1.00000000  0.00000000 
0.05000000  0.00124313  0.00024213  1.00000000  0.00000000 
0.10000000  -0.00350710  0.11976468  0.99875765  0.00000000 
0.15000000  0.00004149  0.06203720  1.00351326  0.00000042 
0.20000000  0.00307196  0.06278491  0.99995851  0.00000000 
0.25000000  0.00646310  0.07369267  0.99693276  0.00000017 
0.30000000  0.01048588  0.08749687  0.99355774  0.00000087 
0.35000000  0.01522961  0.10236050  0.98956891  0.00000270 
0.40000000  0.02072855  0.11763701  0.98488578  0.00000665 
0.45000000  0.02699537  0.13304321  0.97948481  0.00001411 
0.50000000  0.03403255  0.14843274  0.97336575  0.00002698 
0.55000000  0.04183691  0.16371907  0.96654004  0.00004768 
0.60000000  0.05040177  0.17884499  0.95902618  0.00007916 
0.65000000  0.05971804  0.19376915  0.95084732  0.00012497 
0.70000000  0.06977479  0.20845953  0.94203011  0.00018920 
0.75000000  0.08055966  0.22289011  0.93260383  0.00027648 
0.80000000  0.09205910  0.23703900  0.92259986  0.00039195 
0.85000000  0.10425855  0.25088745  0.91205124  0.00054120 
0.90000000  0.11714257  0.26441915  0.90099231  0.00073023 
0.95000000  0.13069495  0.27761992  0.88945837  0.00096534 
1.00000000  0.14489884  0.29047740  0.87748541  0.00125309 
1.05000000  0.15973679  0.30298090  0.86510980  0.00160019 
1.10000000  0.17519088  0.31512129  0.85236811  0.00201342 
1.15000000  0.19124274  0.32689087  0.83929680  0.00249950 
1.20000000  0.20787368  0.33828331  0.82593207  0.00306507 
1.25000000  0.22506470  0.34929360  0.81230964  0.00371651 
1.30000000  0.24279661  0.35991796  0.79846455  0.00445993 
1.35000000  0.26105002  0.37015376  0.78443104  0.00530104 
1.40000000  0.27980548  0.37999953  0.77024239  0.00624509 
1.45000000  0.29904347  0.38945481  0.75593077  0.00729679 
1.50000000  0.31874446  0.39852016  0.74152718  0.00846027 
1.55000000  0.33888901  0.40719708  0.72706132  0.00973904 
1.60000000  0.35945774  0.41548792  0.71256153  0.01113591 
1.65000000  0.38043142  0.42339586  0.69805475  0.01265301 
1.70000000  0.40179101  0.43092482  0.68356644  0.01429173 
1.75000000  0.42351766  0.43807942  0.66912057  0.01605274 
1.80000000  0.44559280  0.44486490  0.65473961  0.01793599 
1.85000000  0.46799810  0.45128710  0.64044451  0.01994069 
1.90000000  0.49071556  0.45735234  0.62625472  0.02206539 
1.95000000  0.51372749  0.46306743  0.61218818  0.02430794 
2.00000000  0.53701658  0.46843957  0.59826140  0.02666554 
2.05000000  0.56056586  0.47347633  0.58448943  0.02913482 
2.10000000  0.58435876  0.47818557  0.57088593  0.03171183 
2.15000000  0.60837910  0.48257542  0.55746322  0.03439210 
2.20000000  0.63261112  0.48665424  0.54423230  0.03717072 
2.25000000  0.65703948  0.49043053  0.53120296  0.04004234 
2.30000000  0.68164927  0.49391295  0.51838375  0.04300126 
2.35000000  0.70642602  0.49711025  0.50578213  0.04604147 
2.40000000  0.73135569  0.50003124  0.49340447  0.04915670 
2.45000000  0.75642469  0.50268477  0.48125611  0.05234047 
2.50000000  0.78161986  0.50507968  0.46934147  0.05558616 
2.55000000  0.80692849  0.50722480  0.45766406  0.05888702 
2.60000000  0.83233832  0.50912889  0.44622655  0.06223624 
2.65000000  0.85783751  0.51080066  0.43503085  0.06562701 
2.70000000  0.88341466  0.51224871  0.42407816  0.06905252 
2.75000000  0.90905879  0.51348155  0.41336899  0.07250602 
2.80000000  0.93475937  0.51450755  0.40290326  0.07598087 
2.85000000  0.96050624  0.51533493  0.39268035  0.07947052 
2.90000000  0.98628968  0.51597180  0.38269910  0.08296860 
2.95000000  1.01210037  0.51642606  0.37295792  0.08646890 
3.00000000  1.03792938  0.51670547  0.36345479  0.08996541 
3.05000000  1.06376813  0.51681759  0.35418731  0.09345235 
3.10000000  1.08960847  0.51676982  0.34515278  0.09692415 
3.15000000  1.11544257  0.51656934  0.33634816  0.10037549 
3.20000000  1.14126298  0.51622316  0.32777019  0.10380131 
3.25000000  1.16706257  0.51573808  0.31941535  0.10719682 
3.30000000  1.19283458  0.51512070  0.31127996  0.11055748 
3.35000000  1.21857254  0.51437743  0.30336015  0.11387903 
3.40000000  1.24427033  0.51351448  0.29565190  0.11715750 
3.45000000  1.26992210  0.51253785  0.28815109  0.12038916 
3.50000000  1.29552231  0.51145334  0.28085350  0.12357058 
3.55000000  1.32106573  0.51026656  0.27375484  0.12669859 
3.60000000  1.34654736  0.50898293  0.26685076  0.12977028 
3.65000000  1.37196249  0.50760767  0.26013687  0.13278301 
3.70000000  1.39730668  0.50614581  0.25360877  0.13573438 
